ds;holiday;lower_window;upper_window;
30.08.2022;ICNFP 2022;0;5;
05.09.2022;PIC 2022;0;5;
12.09.2022;PyHEP 2022;0;5;
19.09.2022;TWEPP 2022;0;5;
03.10.2022;ULITIMA 2022;0;5;
05.10.2022;ECFA 2022;0;5;
16.10.2022;PSI 2022;0;5;
24.10.2022;FIPs 2022;0;5;
24.10.2022;ACAT 2022;0;5;
23.10.2022;VERTEX 2022;0;5;
07.11.2022;HIGGS 2022;0;5;
07.11.2022;EDSU2022;0;5;
12.12.2022;PIXEL 2022;0;5;
09.01.2023;HEP 2023;0;5;
17.07.2023;LP 2023;0;5;
21.08.2023;EPS-HEP 2023;0;5;
06.07.2022;ICHEP 2022;0;5;
26.06.2022;iWoRiD 2022;0;5;
26.06.2022;New Trends in High-Energy Physics;0;5;
27.06.2022;SUSY 2022;0;5;
20.06.2022;BTTB 2022;0;5;
04.04.2022;QM 2022;0;5;
02.05.2022;DIS2022;0;5;
16.05.2022;CALOR 2022;0;5;
08.06.2022;Tracking Detector Mechanics 2022;0;5;
22.03.2022;PM2021;0;5;
21.02.2022;VCI 2022;0;5;
10.01.2022;Lepton Photon 21;0;5;
29.11.2021;DISCRETE2020;0;5;
17.05.2021;vCHEP 2021 - VIRTUAL;0;5;
31.05.2021;CHARM 2020 - RESCHEDULED;0;5;
07.06.2021;LHCP 2021;0;5;
27.06.2020;iWoRiD;0;5;
26.07.2021;EPS-HEP 2021 - VIRTUAL;0;5;
30.08.2021;PANIC 20;0;5;
12.09.2021;PSD12;0;5;
20.09.2021;TWEPP2021;0;5;
20.09.2021;Higgs Hunting 2021;0;5;
26.09.2021;TAU2021;0;5;
17.10.2021;SPIN 2021;0;5;
29.11.2021;ACAT2021;0;5;
13.12.2020;PIXEL 2021;0;5;
12.04.2021;DIS 2021;0;5;
15.03.2021;LCWS2021 - VIRTUAL;0;5;
09.03.2021;La Thuile 2021 - VIRTUAL;0;5;
16.02.2021;TREDI2021;0;5;
08.02.2021;BTTB 2021 - VIRTUAL;0;5;
31.10.2020;IEEE-NSSMIC 2020 - VIRTUAL;0;5;
26.10.2020;CEPC Workshop - VIRTUAL;0;5;
26.10.2020;Higgs2020 - VIRTUAL;0;5;
19.10.2020;Americas Linear Collider workshop 2020;0;5;
05.10.2020;VERTEX 2020 - VIRTUAL;0;5;
27.09.2020;TAU2020 - DELAYED by 1 year;0;5;
21.09.2020;SPIN 2020 - DELAYED by 1 year;0;5;
21.09.2020;PIC 2020 - DELAYED by 1 year;0;5;
21.09.2020;TWEPP2020 - DELAYED by 1 year (+ virtual WG meetings in Autumn);0;5;
16.09.2020;PSD12 - DELAYED by 1 year;0;5;
14.09.2020;EXA2020 - CANCELLED;0;5;
13.09.2020;TOP2020 - VIRTUAL;0;5;
08.09.2020;ACAT2020 - DELAYED by 1 year;0;5;
07.09.2020;Higgs Hunting 2020 - DELAYED by 1 year;0;5;
04.09.2020;ICNFP 2020;0;5;
31.08.2020;FIPs 2020 - VIRTUAL;0;5;
31.08.2020;PANIC 20 - DELAYED by 1 year;0;5;
23.08.2020;ULITIMA 2020 - POSTPONED to 2021;0;5;
10.08.2020;(REMOTE ONLY);0;5;
09.08.2020;CANCELLED;0;5;
30.07.2020;ICHEP 2020 - VIRTUAL;0;5;
20.07.2020;BOOST 2020 - VIRTUAL;0;5;
15.06.2020;Planck 2020 - POSTPONED;0;5;
08.06.2020;FPCP 2020 - VIRTUAL;0;5;
07.06.2020;iWoRiD - DELAYED by 1 year;0;5;
02.06.2020;DM@LHC - VIRTUAL;0;5;
31.05.2020;BEACH 2020 - CANCELLED;0;5;
25.05.2020;LLP 2020 - VIRTUAL;0;5;
25.05.2020;LHCP2020 - DELAYED by 1 year;0;5;
24.05.2020;TIPP 2020 - CANCELLED;0;5;
18.05.2020;CALOR 2020 - DELAYED by 1 year;0;5;
10.05.2020;IPAC 2020 - CANCELLED;0;5;
27.04.2020;SM@LHC - CANCELLED;0;5;
22.04.2020;CTD 2020 - VIRTUAL;0;5;
22.04.2020;--- VIRTUAL;0;5;
18.04.2020;APS 2020 - VIRTUAL;0;5;
13.04.2020;ALPS 2020 - CANCELLED;0;5;
29.03.2020;DPG 2020 - CANCELLED;0;5;
28.03.2020;Moriond QCD - CANCELLED;0;5;
23.03.2020;DIS2020 - CANCELLED;0;5;
21.03.2020;Moriond EW - CANCELLED;0;5;
09.03.2020;CLIC Week - CANCELLED;0;5;
08.03.2020;La Thuile 2020 - CANCELLED;0;5;
24.02.2020;INSTR20;0;5;
17.02.2020;TREDI2020;0;5;
09.02.2020;Lake Louise;0;5;
27.01.2020;BTTB8;0;5;
16.01.2020;IAS HK;0;5;
02.01.2020;Spåtind 2020;0;5;
14.12.2019;HSTD12;0;5;
25.11.2019;CHEF 2019;0;5;
04.11.2019;CHEP 2019;0;5;
28.10.2019;LCWS 2019;0;5;
26.10.2019;IEEE-NSMIC 2019;0;5;
14.10.2019;IPRD 2019;0;5;
13.10.2019;VERTEX 2019;0;5;
30.09.2019;NEC2019;0;5;
30.09.2019;CALICE;0;5;
30.09.2019;Higgs Couplings 2019;0;5;
29.09.2019;SCINT2019;0;5;
16.09.2019;PIC 2019;0;5;
16.09.2019;CEPC Workshop;0;5;
11.09.2019;SCALARS 2019;0;5;
09.09.2019;LFC19;0;5;
04.09.2019;ESHEP 2019;0;5;
02.09.2019;TWEPP2019;0;5;
31.08.2019;Corfu Simmer Institute 2019;0;5;
27.08.2019;CLICdp 2019;0;5;
05.08.2019;LP 2019;0;5;
29.07.2019;DPF2019;0;5;
29.07.2019;10th Higgs Hunting 2019;0;5;
21.07.2019;BOOST 2019;0;5;
10.07.2019;EPS-HEP 2019;0;5;
07.07.2019;iWoRiD 2019;0;5;
24.06.2019;FCC week 2019;0;5;
17.06.2019;FTDM 2019;0;5;
11.06.2019;FC 2019;0;5;
03.06.2019;PHOTON 2019;0;5;
27.05.2019;LHC LLP 2019;0;5;
20.05.2019;SUSY 2019;0;5;
20.05.2019;LHCP 2019;0;5;
19.05.2019;IPAC 2019;0;5;
13.05.2019;EPPSU;0;5;
12.05.2019;NTIHEP;0;5;
22.04.2019;ALPS 2019;0;5;
15.04.2019;CEPC Workshop;0;5;
10.04.2019;CALICE;0;5;
08.04.2019;Linear Collider Community Meeting 2019;0;5;
08.04.2019;Joint APP and HEPP Annual Conference;0;5;
07.04.2019;Light Scalars;0;5;
02.04.2019;CTD 2019;0;5;
23.03.2019;DPG 2019;0;5;
23.03.2019;Moriond QCD;0;5;
16.03.2019;Moriond EW;0;5;
12.03.2019;;0;5;
11.03.2019;LC VTX;0;5;
11.03.2019;ACAT 2019;0;5;
10.03.2019;La Thuile 2019;0;5;
25.02.2019;TREDI 2019;0;5;
18.02.2019;VCI 2019;0;5;
21.01.2019;CLIC;0;5;
17.01.2019;IAS HK;0;5;
14.01.2019;BTTB 2019;0;5;
10.12.2018;PIXEL 2018;0;5;
27.11.2018;PD 18;0;5;
26.11.2018;HC 2018;0;5;
12.11.2018;CEPC;0;5;
10.11.2018;IEEE NSS-MIC 2018;0;5;
22.10.2018;LCWS18;0;5;
22.10.2018;ICPPA-18;0;5;
21.10.2018;Vertex;0;5;
04.10.2018;FCAL;0;5;
01.10.2018;CSC;0;5;
24.09.2018;NTIHEP;0;5;
24.09.2018;TAU2018;0;5;
19.09.2018;CALICE;0;5;
17.09.2018;TWEPP;0;5;
16.09.2018;TOP2018;0;5;
12.09.2018;AEPSHEP 2018;0;5;
11.09.2018;PIC 2018;0;5;
10.09.2018;;0;5;
10.09.2018;ÖPG 2018;0;5;
04.09.2018;HH;0;5;
31.08.2018;Corfu;0;5;
28.08.2018;CLICdp;0;5;
28.08.2018;SPS18;0;5;
20.08.2018;;0;5;
23.07.2018;;0;5;
23.07.2018;SUSY 2018;0;5;
16.07.2018;;0;5;
16.07.2018;BOOST 2018;0;5;
14.07.2018;FPCP 2018;0;5;
09.07.2018;CHEP 2018;0;5;
04.07.2018;ICHEP 2018;0;5;
25.06.2018;;0;5;
25.06.2018;FTDM 2018;0;5;
24.06.2018;iWoRiD 2018;0;5;
20.06.2018;ESHEP 2018;0;5;
17.06.2018;BEACH 2018;0;5;
04.06.2018;TOP@LC2018;0;5;
04.06.2018;LHCP 2018;0;5;
28.05.2018;ALCW2018;0;5;
27.05.2018;Pisameet;0;5;
27.05.2018;;0;5;
24.05.2018;CEPC EU;0;5;
21.05.2018;CALOR 2018;0;5;
21.05.2018;Vulcano;0;5;
10.05.2018;FCAL;0;5;
16.04.2018;DIS 2018;0;5;
15.04.2018;ALPS 2018;0;5;
26.03.2018;HEPFRONT18;0;5;
20.03.2018;ctd2018;0;5;
19.03.2018;DPG;0;5;
17.03.2018;Moriond QCD;0;5;
10.03.2018;Moriond EW;0;5;
25.02.2018;La Thuile;0;5;
19.02.2018;Trento;0;5;
18.02.2018;Lake Louise;0;5;
30.01.2018;CernVM;0;5;
22.01.2018;CLIC;0;5;
18.01.2018;Calorimeter workshop at IAS;0;5;
16.01.2018;1st FCC physics Workshop;0;5;
16.01.2018;BTTB6;0;5;
08.01.2018;Hep2018;0;5;
02.01.2018;Spåtind;0;5;
10.12.2017;HSTD11 & SOIPIX2017;0;5;
06.11.2017;International Workshop on the CEPC;0;5;
23.10.2017;LCWS;0;5;
21.10.2017;IEEE 2017;0;5;
05.10.2017;;0;5;
02.10.2017;CHEF2017;0;5;
25.09.2017;CALICE;0;5;
18.09.2017;SCINT2017;0;5;
17.09.2017;BSM-2017;0;5;
14.09.2017;LAUNCH 17;0;5;
11.09.2017;TWEPP 2017;0;5;
10.09.2017;VERTEX 2017;0;5;
04.09.2017;PSD 11;0;5;
03.09.2017;FCAL;0;5;
02.09.2017;CORFU;0;5;
01.09.2017;PANIC 17;0;5;
29.08.2017;CLICdp;0;5;
28.08.2017;;0;5;
24.08.2017;;0;5;
21.08.2017;ACAT;0;5;
17.08.2017;ICNFP;0;5;
07.08.2017;LP17;0;5;
24.07.2017;8th Higgs Hunting 2017;0;5;
16.07.2017;BOOST;0;5;
17.07.2017;;0;5;
17.07.2017;;0;5;
10.07.2017;DSU2017;0;5;
05.07.2017;FPCP 2017;0;5;
05.07.2017;EPS-HEP;0;5;
03.07.2017;FTDM;0;5;
03.07.2017;NDIP;0;5;
02.07.2017;iWoRiD;0;5;
26.06.2017;PhiPsi17;0;5;
26.06.2017;AWLC;0;5;
07.06.2017;topLC 2017;0;5;
29.05.2017;Dirac User Workshop;0;5;
22.05.2017;TIPP2017;0;5;
15.05.2017;LHCP2017;0;5;
11.05.2017;MC4BSM2017;0;5;
30.04.2017;ALPS2017;0;5;
30.04.2017;LC Vertex;0;5;
03.04.2017;DIS'17;0;5;
25.03.2017;Moriond QCD;0;5;
22.03.2017;CALICE;0;5;
18.03.2017;Moriond EW;0;5;
05.03.2017;La Thuile;0;5;
06.03.2017;CTD;0;5;
06.03.2017;FCAL;0;5;
06.03.2017;CLIC;0;5;
27.02.2017;INSTR17;0;5;
20.02.2017;Trento;0;5;
19.02.2017;LLWI;0;5;
24.01.2017;BTTB;0;5;
23.01.2017;CPIX17;0;5;
09.01.2017;Epiphany;0;5;